Pull,$NewFeature,$BugFix,$Enhancement,$Refactor,$Revert,$Rework,$Cleanup,$Comment,$Formatting,$Whitespace,$Removal,Sum
#20087,1,5,1,4,0,0,0,0,0,0,0,11
#21668,1,0,0,8,0,0,1,0,0,0,0,10
#23130,1,0,0,7,0,0,0,2,0,0,0,10
#23768,1,2,0,6,0,0,0,0,1,0,0,10
#19971,1,1,0,7,0,0,0,1,0,0,0,10
#18906,1,2,1,5,0,0,0,1,0,0,0,10
#25642,1,1,1,5,0,0,0,1,0,0,0,9
#21835,1,1,0,7,0,0,0,0,0,0,0,9
#22165,1,1,0,7,0,0,0,0,0,0,0,9
#22109,1,1,0,4,0,0,0,1,2,0,0,9
#17239,1,1,1,4,0,1,1,0,0,0,0,9
#18177,1,0,0,8,0,0,0,0,0,0,0,9
#19901,1,0,0,8,0,0,0,0,0,0,0,9
#14924,1,0,1,6,0,0,1,0,0,0,0,9
#14961,1,2,2,3,0,0,0,0,0,0,0,8
#15209,1,1,1,4,1,0,0,0,0,0,0,8
#23080,1,0,0,7,0,0,0,0,0,0,0,8
#18737,1,0,0,7,0,0,0,0,0,0,0,8
#22191,1,0,0,7,0,0,0,0,0,0,0,8
#26011,1,0,1,5,0,0,0,0,1,0,0,8
#24420,1,0,0,6,0,0,0,0,0,0,0,7
#23192,1,0,0,6,0,0,0,0,0,0,0,7
#22391,1,0,0,5,0,0,0,0,1,0,0,7
#26127,1,3,1,2,0,0,0,0,0,0,0,7
#14619,1,0,4,2,0,0,0,0,0,0,0,7
#14309,1,1,2,2,0,1,0,0,0,0,0,7
#22669,1,0,0,6,0,0,0,0,0,0,0,7
#14251,1,0,0,4,1,0,0,1,0,0,0,7
#22354,1,0,0,5,0,0,0,0,1,0,0,7
#22040,1,1,0,3,0,0,0,1,1,0,0,7
#20099,1,2,1,3,0,0,0,0,0,0,0,7
#21753,1,1,0,3,0,0,0,0,1,1,0,7
#25214,1,0,0,6,0,0,0,0,0,0,0,7
#20940,1,2,0,3,0,0,0,0,0,0,0,6
#19674,1,2,0,3,0,0,0,0,0,0,0,6
#15245,1,0,0,5,0,0,0,0,0,0,0,6
#16068,1,0,1,3,0,1,0,0,0,0,0,6
#26267,1,0,0,5,0,0,0,0,0,0,0,6
#21387,1,2,0,2,0,0,0,1,0,0,0,6
#17884,1,1,1,3,0,0,0,0,0,0,0,6
#21403,1,1,0,4,0,0,0,0,0,0,0,6
#17462,1,2,1,2,0,0,0,0,0,0,0,6
#22715,1,0,0,0,0,0,0,2,3,0,0,6
#17560,1,1,1,3,0,0,0,0,0,0,0,6
#24521,1,0,0,4,0,0,0,0,0,0,0,5
#22760,1,0,0,4,0,0,0,0,0,0,0,5
#17222,1,0,0,2,0,1,1,0,0,0,0,5
#23184,1,0,1,3,0,0,0,0,0,0,0,5
#18735,1,0,0,3,0,0,0,1,0,0,0,5
#18039,1,2,0,1,0,0,0,1,0,0,0,5
#22052,1,0,0,2,0,0,0,1,1,0,0,5
#16641,1,1,0,3,0,0,0,0,0,0,0,5
#25548,1,1,0,2,0,0,0,0,0,0,0,4
#26328,1,2,1,0,0,0,0,0,0,0,0,4
#24189,1,0,0,3,0,0,0,0,0,0,0,4
#26344,1,0,1,2,0,0,0,0,0,0,0,4
#25438,1,0,1,2,0,0,0,0,0,0,0,4
#24624,1,0,0,3,0,0,0,0,0,0,0,4
#21534,1,0,0,2,0,0,0,0,1,0,0,4
#20455,1,0,0,3,0,0,0,0,0,0,0,4
#23396,1,2,0,1,0,0,0,0,0,0,0,4
#14956,1,0,0,2,0,1,0,0,0,0,0,4
#15739,1,0,0,3,0,0,0,0,0,0,0,4
#16026,1,0,0,3,0,0,0,0,0,0,0,4
#18389,1,1,1,1,0,0,0,0,0,0,0,4
#22880,1,0,0,2,0,0,0,0,1,0,0,4
#21427,1,0,1,1,0,0,0,1,0,0,0,4
#21888,1,0,0,2,0,0,0,0,0,0,0,3
#17788,1,0,2,0,0,0,0,0,0,0,0,3
#25781,1,2,0,0,0,0,0,0,0,0,0,3
#19828,1,0,0,2,0,0,0,0,0,0,0,3
#19837,1,0,0,2,0,0,0,0,0,0,0,3
#20835,1,0,0,2,0,0,0,0,0,0,0,3
#25256,1,0,0,2,0,0,0,0,0,0,0,3
#23944,1,1,0,1,0,0,0,0,0,0,0,3
#24553,1,0,0,2,0,0,0,0,0,0,0,3
#22908,1,0,0,2,0,0,0,0,0,0,0,3
#23101,1,0,0,2,0,0,0,0,0,0,0,3
#22075,1,1,0,1,0,0,0,0,0,0,0,3
#21949,1,0,0,0,0,0,0,1,0,0,0,2
#18316,1,0,0,1,0,0,0,0,0,0,0,2
#25738,1,0,0,1,0,0,0,0,0,0,0,2
#25150,1,0,0,1,0,0,0,0,0,0,0,2
#24074,1,0,0,0,0,0,0,0,0,0,1,2
#26892,1,0,0,1,0,0,0,0,0,0,0,2
#25093,1,0,0,1,0,0,0,0,0,0,0,2
#26806,1,0,0,0,0,0,0,0,0,0,0,1
#26401,1,0,0,0,0,0,0,0,0,0,0,1
#26825,1,0,0,0,0,0,0,0,0,0,0,1
#26793,1,0,0,0,0,0,0,0,0,0,0,1
#26751,1,0,0,0,0,0,0,0,0,0,0,1
#26696,1,0,0,0,0,0,0,0,0,0,0,1
#26652,1,0,0,0,0,0,0,0,0,0,0,1
#26441,1,0,0,0,0,0,0,0,0,0,0,1
#26142,1,0,0,0,0,0,0,0,0,0,0,1
#24215,1,0,0,0,0,0,0,0,0,0,0,1
#26341,1,0,0,0,0,0,0,0,0,0,0,1
#23345,1,0,0,0,0,0,0,0,0,0,0,1
#24461,1,0,0,0,0,0,0,0,0,0,0,1
#23172,1,0,0,0,0,0,0,0,0,0,0,1
#22941,1,0,0,0,0,0,0,0,0,0,0,1
#25268,1,0,0,0,0,0,0,0,0,0,0,1
#24995,1,0,0,0,0,0,0,0,0,0,0,1
#27072,1,0,0,0,0,0,0,0,0,0,0,1
