Number,Name,Comments,Merged,State,Labels,Created,Closed,Commit,Files,Url
2300,#2300_Support_for_COREXZ_kinematics,1,True,closed,"['Needs: Testing', 'PR: New Feature']",2015-06-16 00:37:30+00:00,2015-07-19 20:28:38+00:00,8debc04bcb6741bdaf283184dd53c6f96b895eaf,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2300
2417,#2417_STEPPER_RESET_PIN_support,0,True,closed,"['C: Boards/Pins', 'PR: New Feature']",2015-07-11 01:18:23+00:00,2015-07-11 21:03:25+00:00,ffa56a3e7178cf68345d996c2dff8def95dc5f05,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2417
2469,#2469_G2_G3_Arcs_for_Deltabot,0,True,closed,"['PR: New Feature', 'PR: Bug Fix']",2015-07-19 17:51:15+00:00,2015-07-19 20:28:52+00:00,7d80a1c722217a917f423ccb50fffd674b9b739b,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2469
3086,#3086_Support_for_multiple_PWM_fans,0,True,closed,"['PR: Improvement', 'C: Boards/Pins', 'PR: New Feature']",2016-03-06 02:53:52+00:00,2016-03-19 10:19:18+00:00,b6b750a273c6e30e1e842b7132709c1f045f7447,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/3086
3109,#3109_Provide_feedback_to_hosts_when_busy,71,True,closed,"['PR: Improvement', 'Needs: More Data', 'PR: New Feature', 'C: Hosts & Protocols', 'T: Design Concept', ""S: Don't Merge""]",2016-03-08 01:21:58+00:00,2016-03-19 06:22:29+00:00,b648a225199d25ae6454012da97d41f9bc973a62,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/3109
3112,#3112_Support_MAX31855_as_Temperature_Sensor_-3,14,True,closed,"['C: Boards/Pins', 'PR: New Feature']",2016-03-08 15:02:38+00:00,2016-03-13 10:30:48+00:00,e8ee345537b00587d9182a69f07e24179c3b47d7,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/3112
3114,#3114_Option_to_reverse_the_click-wheel_direction_in_menus,3,True,closed,"['PR: New Feature', 'PR: Bug Fix']",2016-03-09 07:12:16+00:00,2016-03-18 22:39:29+00:00,f5030f537ba83ae02653765f6cb1b579a5b78e17,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/3114
3127,#3127_Implement_BABYSTEPPING_for_COREXY_and_COREXZ,1,True,closed,"['PR: Improvement', 'C: Boards/Pins', 'PR: New Feature']",2016-03-11 06:13:42+00:00,2016-03-19 06:25:26+00:00,1d4e241062943b1e2bccbcbe189b3498927f6aeb,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/3127
3152,#3152_SD_files_alphabetical_sort_in_LCD_menus,3,True,closed,"['T: Feature Request', 'Needs: Work', 'Needs: More Data', 'PR: New Feature', 'S: Experimental']",2016-03-15 00:54:42+00:00,2017-02-15 03:48:58+00:00,20ef0a6e270a2c6d7ebecc695c2e59824b201565,"['.travis.yml', 'Marlin/Conditionals_post.h', 'Marlin/Configuration_adv.h', 'Marlin/Marlin_main.cpp', 'Marlin/SanityCheck.h', 'Marlin/cardreader.cpp', 'Marlin/cardreader.h', 'Marlin/example_configurations/Cartesio/Configuration_adv.h', 'Marlin/example_configurations/Felix/Configuration_adv.h', 'Marlin/example_configurations/Hephestos/Configuration_adv.h', 'Marlin/example_configurations/Hephestos_2/Configuration_adv.h', 'Marlin/example_configurations/K8200/Configuration_adv.h', 'Marlin/example_configurations/K8400/Configuration_adv.h', 'Marlin/example_configurations/RigidBot/Configuration_adv.h', 'Marlin/example_configurations/SCARA/Configuration_adv.h', 'Marlin/example_configurations/TAZ4/Configuration_adv.h', 'Marlin/example_configurations/WITBOX/Configuration_adv.h', 'Marlin/example_configurations/delta/generic/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration_adv.h', 'Marlin/example_configurations/makibox/Configuration_adv.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration_adv.h', 'Marlin/ultralcd.cpp']",https://github.com/MarlinFirmware/Marlin/pull/3152
3182,#3182_Add_support_for_Printrboard_RevF,14,True,closed,"['C: Boards/Pins', 'PR: New Feature']",2016-03-19 23:33:52+00:00,2016-03-24 07:12:06+00:00,c5857f96c8a6b707363b598d00824824a45bb387,"['Marlin/Makefile', 'Marlin/Marlin_main.cpp', 'Marlin/boards.h', 'Marlin/dac_mcp4728.cpp', 'Marlin/dac_mcp4728.h', 'Marlin/pins.h', 'Marlin/pins_PRINTRBOARD_REVF.h', 'Marlin/stepper.cpp', 'Marlin/stepper.h', 'Marlin/stepper_dac.cpp', 'Marlin/stepper_dac.h']",https://github.com/MarlinFirmware/Marlin/pull/3182
3183,#3183_Add_support_for_LCM1602_16x2_I2C_LCD_adapter,0,True,closed,"['C: Boards/Pins', 'PR: New Feature']",2016-03-20 00:27:04+00:00,2016-03-20 02:28:50+00:00,4f1a14164628e4a75e8bdc42602d0b1b3b741ca6,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/3183
3202,#3202_Add_Menu_Items_to_initiate_M303,2,True,closed,"['PR: Improvement', 'PR: New Feature']",2016-03-22 01:44:36+00:00,2016-03-24 09:41:16+00:00,02f466e6331c15ac502b24f0d79ef661eae9ec24,"['Marlin/Marlin.h', 'Marlin/Marlin_main.cpp', 'Marlin/cardreader.cpp', 'Marlin/temperature.cpp', 'Marlin/temperature.h', 'Marlin/ultralcd.cpp']",https://github.com/MarlinFirmware/Marlin/pull/3202
3207,#3207_Toshiba_Flash_Air_Wifi_SD_card_support,1,True,closed,"['Bug: Confirmed !', 'C: Boards/Pins', 'PR: New Feature', 'PR: Bug Fix']",2016-03-22 11:56:31+00:00,2016-03-24 12:28:48+00:00,42ec1f39e73a1fcd02cacffe7128fae7f795e2ad,['Marlin/Sd2Card.cpp'],https://github.com/MarlinFirmware/Marlin/pull/3207
3242,#3242_Updated_Mesh_Bed_Leveling,0,True,closed,"['PR: New Feature', 'PR: Bug Fix']",2016-03-25 12:01:48+00:00,2016-03-25 13:48:12+00:00,18de9f55ac7d36ede09fe19257b4bb411b82c74c,"['Marlin/Marlin_main.cpp', 'Marlin/configuration_store.cpp', 'Marlin/language_en.h', 'Marlin/mesh_bed_leveling.cpp', 'Marlin/mesh_bed_leveling.h', 'Marlin/ultralcd.cpp']",https://github.com/MarlinFirmware/Marlin/pull/3242
3253,#3253_Make_the_Autotune_item(s)_in_the_LCD_menu_optional,0,True,closed,"['PR: New Feature', 'PR: Configurations', 'C: Configuration']",2016-03-26 05:29:23+00:00,2016-03-26 07:32:05+00:00,1d987cd2809968a7dda28bde3bef690e5f04e875,"['Marlin/Configuration.h', 'Marlin/Configuration_adv.h', 'Marlin/Marlin.h', 'Marlin/SanityCheck.h', 'Marlin/example_configurations/Felix/Configuration.h', 'Marlin/example_configurations/Felix/Configuration_DUAL.h', 'Marlin/example_configurations/Felix/Configuration_adv.h', 'Marlin/example_configurations/Hephestos/Configuration.h', 'Marlin/example_configurations/Hephestos/Configuration_adv.h', 'Marlin/example_configurations/Hephestos_2/Configuration.h', 'Marlin/example_configurations/Hephestos_2/Configuration_adv.h', 'Marlin/example_configurations/K8200/Configuration.h', 'Marlin/example_configurations/K8200/Configuration_adv.h', 'Marlin/example_configurations/RepRapWorld/Megatronics/Configuration.h', 'Marlin/example_configurations/RigidBot/Configuration.h', 'Marlin/example_configurations/RigidBot/Configuration_adv.h', 'Marlin/example_configurations/SCARA/Configuration.h', 'Marlin/example_configurations/SCARA/Configuration_adv.h', 'Marlin/example_configurations/TAZ4/Configuration.h', 'Marlin/example_configurations/TAZ4/Configuration_adv.h', 'Marlin/example_configurations/WITBOX/Configuration.h', 'Marlin/example_configurations/WITBOX/Configuration_adv.h', 'Marlin/example_configurations/adafruit/ST7565/Configuration.h', 'Marlin/example_configurations/delta/biv2.5/Configuration.h', 'Marlin/example_configurations/delta/biv2.5/Configuration_adv.h', 'Marlin/example_configurations/delta/generic/Configuration.h', 'Marlin/example_configurations/delta/generic/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration_adv.h', 'Marlin/example_configurations/makibox/Configuration.h', 'Marlin/example_configurations/makibox/Configuration_adv.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration_adv.h', 'Marlin/temperature.cpp', 'Marlin/ultralcd.cpp']",https://github.com/MarlinFirmware/Marlin/pull/3253
3309,#3309_Release_1_1_0-RC5,5,True,closed,['PR: New Feature'],2016-04-02 02:15:43+00:00,2016-04-02 02:23:30+00:00,4d0d37aab735f5f1265bc7d06863aea5a487fd09,['Marlin/Default_Version.h'],https://github.com/MarlinFirmware/Marlin/pull/3309
3414,#3414_Host_Keepalive_configurable_timeout_with_2s_default,5,True,closed,"['PR: Improvement', 'PR: New Feature', 'C: Hosts & Protocols']",2016-04-07 00:39:55+00:00,2016-04-09 04:45:45+00:00,50c31400404b292f91a2373838353213b41edf17,"['Marlin/Configuration.h', 'Marlin/Marlin.h', 'Marlin/Marlin_main.cpp', 'Marlin/example_configurations/Felix/Configuration.h', 'Marlin/example_configurations/Felix/Configuration_DUAL.h', 'Marlin/example_configurations/Hephestos/Configuration.h', 'Marlin/example_configurations/Hephestos_2/Configuration.h', 'Marlin/example_configurations/K8200/Configuration.h', 'Marlin/example_configurations/RepRapWorld/Megatronics/Configuration.h', 'Marlin/example_configurations/RigidBot/Configuration.h', 'Marlin/example_configurations/SCARA/Configuration.h', 'Marlin/example_configurations/TAZ4/Configuration.h', 'Marlin/example_configurations/WITBOX/Configuration.h', 'Marlin/example_configurations/adafruit/ST7565/Configuration.h', 'Marlin/example_configurations/delta/biv2.5/Configuration.h', 'Marlin/example_configurations/delta/generic/Configuration.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration.h', 'Marlin/example_configurations/makibox/Configuration.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration.h']",https://github.com/MarlinFirmware/Marlin/pull/3414
3436,"#3436_M155_and_M156,_a_generic_TWI_I2C_interface_for_Marlin",0,True,closed,"['C: Boards/Pins', 'PR: New Feature']",2016-04-09 03:12:16+00:00,2016-04-09 03:35:53+00:00,3ecf38d32e9d2bae36a059e253cff4717a0b2ed4,"['Marlin/Configuration_adv.h', 'Marlin/Marlin_main.cpp', 'Marlin/example_configurations/Felix/Configuration_adv.h', 'Marlin/example_configurations/Hephestos/Configuration_adv.h', 'Marlin/example_configurations/Hephestos_2/Configuration_adv.h', 'Marlin/example_configurations/K8200/Configuration_adv.h', 'Marlin/example_configurations/RigidBot/Configuration_adv.h', 'Marlin/example_configurations/SCARA/Configuration_adv.h', 'Marlin/example_configurations/TAZ4/Configuration_adv.h', 'Marlin/example_configurations/WITBOX/Configuration_adv.h', 'Marlin/example_configurations/delta/biv2.5/Configuration_adv.h', 'Marlin/example_configurations/delta/generic/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration_adv.h', 'Marlin/example_configurations/makibox/Configuration_adv.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration_adv.h', 'Marlin/twibus.cpp', 'Marlin/twibus.h']",https://github.com/MarlinFirmware/Marlin/pull/3436
3454,#3454_Add_a_case_for_M113_to_process_next_command,0,True,closed,['PR: New Feature'],2016-04-11 01:53:51+00:00,2016-04-11 02:00:40+00:00,b30e4528f1bc808a3b55ba46ad4de962528d3b0a,['Marlin/Marlin_main.cpp'],https://github.com/MarlinFirmware/Marlin/pull/3454
3477,#3477_Implementation_of_M190_bed_temp_hysteresis,19,True,closed,"['PR: Improvement', 'PR: New Feature']",2016-04-12 14:59:24+00:00,2016-04-15 23:20:58+00:00,a8e4d7c135a323a645756af13fcc0866c8b23e04,"['Marlin/Configuration.h', 'Marlin/Marlin_main.cpp', 'Marlin/example_configurations/Felix/Configuration.h', 'Marlin/example_configurations/Felix/Configuration_DUAL.h', 'Marlin/example_configurations/Hephestos/Configuration.h', 'Marlin/example_configurations/Hephestos_2/Configuration.h', 'Marlin/example_configurations/K8200/Configuration.h', 'Marlin/example_configurations/RepRapWorld/Megatronics/Configuration.h', 'Marlin/example_configurations/RigidBot/Configuration.h', 'Marlin/example_configurations/SCARA/Configuration.h', 'Marlin/example_configurations/TAZ4/Configuration.h', 'Marlin/example_configurations/WITBOX/Configuration.h', 'Marlin/example_configurations/adafruit/ST7565/Configuration.h', 'Marlin/example_configurations/delta/biv2.5/Configuration.h', 'Marlin/example_configurations/delta/generic/Configuration.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration.h', 'Marlin/example_configurations/makibox/Configuration.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration.h']",https://github.com/MarlinFirmware/Marlin/pull/3477
3491,#3491_Support_for__mechanical_probe__with_Allen_Key_as_a_special_case,2,True,closed,"['C: Boards/Pins', 'PR: New Feature']",2016-04-14 03:38:20+00:00,2016-04-14 03:55:14+00:00,f8e10ff1d8c9924a7efb8e4fbb930642d6ab7802,"['Marlin/Conditionals.h', 'Marlin/Configuration.h', 'Marlin/Marlin_main.cpp', 'Marlin/SanityCheck.h', 'Marlin/example_configurations/Felix/Configuration.h', 'Marlin/example_configurations/Felix/Configuration_DUAL.h', 'Marlin/example_configurations/Hephestos/Configuration.h', 'Marlin/example_configurations/Hephestos_2/Configuration.h', 'Marlin/example_configurations/K8200/Configuration.h', 'Marlin/example_configurations/RepRapWorld/Megatronics/Configuration.h', 'Marlin/example_configurations/RigidBot/Configuration.h', 'Marlin/example_configurations/SCARA/Configuration.h', 'Marlin/example_configurations/TAZ4/Configuration.h', 'Marlin/example_configurations/WITBOX/Configuration.h', 'Marlin/example_configurations/adafruit/ST7565/Configuration.h', 'Marlin/example_configurations/delta/biv2.5/Configuration.h', 'Marlin/example_configurations/delta/generic/Configuration.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration.h', 'Marlin/example_configurations/makibox/Configuration.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration.h']",https://github.com/MarlinFirmware/Marlin/pull/3491
3611,#3611_Introduce_M108_cancel_wait_for_heatup_cooldown_of_the_hotend_and_bed,83,True,closed,['PR: New Feature'],2016-04-25 16:20:01+00:00,2016-07-04 08:19:31+00:00,e48502866b23909eca7d21d8f0d4d1e33402135e,['Marlin/Marlin_main.cpp'],https://github.com/MarlinFirmware/Marlin/pull/3611
3625,#3625_Print_job_statistics,6,True,closed,['PR: New Feature'],2016-04-27 01:45:11+00:00,2016-04-29 22:31:14+00:00,c3ef9993b987ffd127bf9a2056aab9660df97101,"['.travis.yml', 'Marlin/Configuration.h', 'Marlin/Marlin.h', 'Marlin/Marlin_main.cpp', 'Marlin/example_configurations/Felix/Configuration.h', 'Marlin/example_configurations/Hephestos/Configuration.h', 'Marlin/example_configurations/Hephestos_2/Configuration.h', 'Marlin/example_configurations/K8200/Configuration.h', 'Marlin/example_configurations/RepRapWorld/Megatronics/Configuration.h', 'Marlin/example_configurations/RigidBot/Configuration.h', 'Marlin/example_configurations/SCARA/Configuration.h', 'Marlin/example_configurations/TAZ4/Configuration.h', 'Marlin/example_configurations/WITBOX/Configuration.h', 'Marlin/example_configurations/adafruit/ST7565/Configuration.h', 'Marlin/example_configurations/delta/biv2.5/Configuration.h', 'Marlin/example_configurations/delta/generic/Configuration.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration.h', 'Marlin/example_configurations/makibox/Configuration.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration.h', 'Marlin/printcounter.cpp', 'Marlin/printcounter.h', 'Marlin/stopwatch.cpp']",https://github.com/MarlinFirmware/Marlin/pull/3625
3653,#3653_Introduce_temp_watch_protection_for_the_bed,2,True,closed,"['PR: Improvement', 'PR: New Feature']",2016-05-01 20:14:04+00:00,2016-05-01 20:58:28+00:00,60c6efb75c3c8e05bac6d681e6842b8d1f4e78e8,"['Marlin/Configuration_adv.h', 'Marlin/example_configurations/Felix/Configuration_adv.h', 'Marlin/example_configurations/Hephestos/Configuration_adv.h', 'Marlin/example_configurations/Hephestos_2/Configuration_adv.h', 'Marlin/example_configurations/K8200/Configuration_adv.h', 'Marlin/example_configurations/RigidBot/Configuration_adv.h', 'Marlin/example_configurations/SCARA/Configuration_adv.h', 'Marlin/example_configurations/TAZ4/Configuration_adv.h', 'Marlin/example_configurations/WITBOX/Configuration_adv.h', 'Marlin/example_configurations/delta/biv2.5/Configuration_adv.h', 'Marlin/example_configurations/delta/generic/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration_adv.h', 'Marlin/example_configurations/makibox/Configuration_adv.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration_adv.h', 'Marlin/temperature.cpp', 'Marlin/temperature.h', 'Marlin/ultralcd.cpp']",https://github.com/MarlinFirmware/Marlin/pull/3653
3662,#3662_Rewritten_FILAMENT_CHANGE_ENABLE_feature,83,True,closed,"['PR: Improvement', 'Needs: Testing', 'PR: New Feature']",2016-05-02 22:10:46+00:00,2016-07-02 23:20:20+00:00,b37e7270725311c7be9dc5bc7db375c1804f2db1,"['.travis.yml', 'Marlin/Configuration_adv.h', 'Marlin/Marlin.h', 'Marlin/Marlin_main.cpp', 'Marlin/SanityCheck.h', 'Marlin/dogm_lcd_implementation.h', 'Marlin/example_configurations/Felix/Configuration_adv.h', 'Marlin/example_configurations/Hephestos/Configuration_adv.h', 'Marlin/example_configurations/Hephestos_2/Configuration_adv.h', 'Marlin/example_configurations/K8200/Configuration_adv.h', 'Marlin/example_configurations/RigidBot/Configuration_adv.h', 'Marlin/example_configurations/SCARA/Configuration_adv.h', 'Marlin/example_configurations/TAZ4/Configuration_adv.h', 'Marlin/example_configurations/WITBOX/Configuration_adv.h', 'Marlin/example_configurations/delta/biv2.5/Configuration_adv.h', 'Marlin/example_configurations/delta/generic/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration_adv.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration_adv.h', 'Marlin/example_configurations/makibox/Configuration_adv.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration_adv.h', 'Marlin/language_cz.h', 'Marlin/language_en.h', 'Marlin/ultralcd.cpp', 'Marlin/ultralcd.h', 'Marlin/ultralcd_implementation_hitachi_HD44780.h']",https://github.com/MarlinFirmware/Marlin/pull/3662
3676,#3676_Advance_extrusion_algorithm_–_LIN_ADVANCE,84,True,closed,"['PR: Improvement', 'PR: New Feature']",2016-05-04 19:38:23+00:00,2016-06-14 01:04:58+00:00,587de1b6b609603499c26ba9fc52126634fae5a2,"['.travis.yml', 'Marlin/Configuration_adv.h', 'Marlin/Marlin_main.cpp', 'Marlin/SanityCheck.h', 'Marlin/planner.cpp', 'Marlin/planner.h', 'Marlin/stepper.cpp', 'Marlin/stepper.h']",https://github.com/MarlinFirmware/Marlin/pull/3676
3739,#3739_Add_REVERSE_ENCODER_DIRECTION_option,0,True,closed,['PR: New Feature'],2016-05-11 22:43:47+00:00,2016-05-12 02:32:23+00:00,a42655b9ac352d9ac83f5198fde98b96670f3b7e,"['Marlin/Configuration.h', 'Marlin/example_configurations/Felix/Configuration.h', 'Marlin/example_configurations/Felix/Configuration_DUAL.h', 'Marlin/example_configurations/Hephestos/Configuration.h', 'Marlin/example_configurations/Hephestos_2/Configuration.h', 'Marlin/example_configurations/K8200/Configuration.h', 'Marlin/example_configurations/RepRapWorld/Megatronics/Configuration.h', 'Marlin/example_configurations/RigidBot/Configuration.h', 'Marlin/example_configurations/SCARA/Configuration.h', 'Marlin/example_configurations/TAZ4/Configuration.h', 'Marlin/example_configurations/WITBOX/Configuration.h', 'Marlin/example_configurations/adafruit/ST7565/Configuration.h', 'Marlin/example_configurations/delta/biv2.5/Configuration.h', 'Marlin/example_configurations/delta/generic/Configuration.h', 'Marlin/example_configurations/delta/kossel_mini/Configuration.h', 'Marlin/example_configurations/delta/kossel_pro/Configuration.h', 'Marlin/example_configurations/delta/kossel_xl/Configuration.h', 'Marlin/example_configurations/makibox/Configuration.h', 'Marlin/example_configurations/tvrrug/Round2/Configuration.h', 'Marlin/ultralcd.cpp']",https://github.com/MarlinFirmware/Marlin/pull/3739
